Date,Open,High,Low,Close,Volume
2025-01-15,42927.76171875,43323.48828125,42927.76171875,43221.55078125,479110000
2025-01-16,43290.25,43294.80859375,43081.75,43153.12890625,504270000
2025-01-17,43312.55078125,43653.25,43312.55078125,43487.828125,554870000
2025-01-21,43528.6484375,44050.12890625,43528.6484375,44025.80859375,592210000
2025-01-22,44178.05859375,44208.33984375,44042.109375,44156.73046875,588430000
2025-01-23,44113.55078125,44565.26171875,44113.55078125,44565.0703125,444180000
2025-01-24,44533.75,44545.51953125,44332.21875,44424.25,532230000
2025-01-27,44148.83984375,44727.8515625,44026.26953125,44713.578125,1230150000
2025-01-28,44756.359375,44976.3515625,44621.9609375,44850.3515625,915110000
2025-01-29,44819.55078125,44962.578125,44579.1015625,44713.51953125,695190000
2025-01-30,44548.69140625,45008.75,44548.69140625,44882.12890625,714080000
2025-01-31,45054.359375,45054.359375,44507.21875,44544.66015625,768530000
2025-02-03,44268.1484375,44594.5390625,43879.05859375,44421.91015625,712890000
2025-02-04,44469.4609375,44597.7109375,44328.51953125,44556.0390625,561360000
2025-02-05,44563.62890625,44886.87890625,44352.98828125,44873.28125,552040000
2025-02-06,44949.19140625,44966.62890625,44545.26953125,44747.62890625,542250000
2025-02-07,44762.5703125,44857.109375,44279.78125,44303.3984375,552510000
2025-02-10,44396.921875,44622.19140625,44301.421875,44470.41015625,494600000
2025-02-11,44401.37890625,44640.6015625,44319.51171875,44593.6484375,453440000
2025-02-12,44357.69921875,44467.2109375,44104.48046875,44368.55859375,444470000
2025-02-13,44425.94140625,44768.26171875,44366.62109375,44711.4296875,513960000
2025-02-14,44720.98828125,44769.05078125,44498.9609375,44546.078125,474570000
2025-02-18,44583.91015625,44602.01953125,44319.3203125,44556.33984375,551790000
2025-02-19,44478.12109375,44636.19140625,44312.6484375,44627.58984375,438880000
2025-02-20,44561.109375,44561.109375,43950.16015625,44176.6484375,448500000
2025-02-21,43820.12890625,43959.73046875,43349.328125,43428.01953125,622550000
2025-02-24,43493.12109375,43699.1484375,43343.671875,43461.2109375,615500000
2025-02-25,43509.73828125,43767.73828125,43282.98046875,43621.16015625,641310000
2025-02-26,43635.421875,43866.5,43318.9296875,43433.12109375,590270000
2025-02-27,43516.44140625,43884.19140625,43224.53125,43239.5,739620000
2025-02-28,43259.83984375,43873.55078125,43100.87109375,43840.91015625,782170000
2025-03-03,43900.48828125,44033.78125,42919.30859375,43191.23828125,731560000
2025-03-04,43040.30078125,43084.0,42347.75,42520.98828125,815780000
2025-03-05,42518.37109375,43135.921875,42418.73046875,43006.58984375,582350000
2025-03-06,42848.48828125,42970.48828125,42381.55859375,42579.078125,643880000
2025-03-07,42503.0703125,42898.6796875,42175.62109375,42801.71875,763440000
2025-03-10,42507.6484375,42541.359375,41612.921875,41911.7109375,840180000
2025-03-11,41837.94921875,41868.26953125,41175.37109375,41433.48046875,828160000
2025-03-12,41577.5,41721.359375,41010.23828125,41350.9296875,712360000
2025-03-13,41280.05078125,41360.12109375,40661.76953125,40813.5703125,646770000
2025-03-14,41057.5703125,41528.109375,40929.5390625,41488.19140625,600240000
2025-03-17,41460.21875,42013.1015625,41412.75,41841.62890625,564190000
2025-03-18,41772.91015625,41787.25,41415.4296875,41581.30859375,569810000
2025-03-19,41613.19140625,42178.41015625,41613.19140625,41964.62890625,577530000
2025-03-20,41795.26171875,42250.2890625,41695.609375,41953.3203125,545240000
2025-03-21,41763.3984375,42011.3984375,41433.859375,41985.3515625,1026600000
2025-03-24,42180.140625,42638.8515625,42180.140625,42583.3203125,548840000
2025-03-25,42635.5390625,42696.609375,42441.828125,42587.5,452200000
2025-03-26,42655.8515625,42821.828125,42326.671875,42454.7890625,592650000
2025-03-27,42432.9609375,42523.83984375,42142.19140625,42299.69921875,484540000
2025-03-28,42245.8203125,42258.1484375,41530.0,41583.8984375,532360000
2025-03-31,41382.51953125,42147.37890625,41148.12890625,42001.76171875,732220000
2025-04-01,41879.75,42140.66015625,41519.8984375,41989.9609375,514610000
2025-04-02,41736.078125,42382.26953125,41629.69921875,42225.3203125,492050000
2025-04-03,40986.51953125,41173.62109375,40513.109375,40545.9296875,941940000
2025-04-04,40097.8984375,40097.8984375,38264.87109375,38314.859375,1290100000
2025-04-07,37879.6484375,39207.01953125,36611.78125,37965.6015625,1363960000
2025-04-08,38827.1015625,39426.6015625,37103.859375,37645.58984375,1051220000
2025-04-09,37387.91015625,40778.69921875,37275.69140625,40608.44921875,1412960000
2025-04-10,39996.9296875,39996.9296875,38427.69921875,39593.66015625,1023490000
2025-04-11,39493.421875,40404.26953125,39255.2109375,40212.7109375,742800000
