"","cell_line","COSMIC_ID","drug","log10_dose","viability"
"85","5637",687452,"Navitoclax",-0.1989,0.913411837113471
"86","5637",687452,"Navitoclax",1e-04,0.85249427786153
"87","5637",687452,"Navitoclax",0.199,0.75713905155405
"88","5637",687452,"Navitoclax",0.301,0.764799597383635
"89","5637",687452,"Navitoclax",0.5,0.485605835865142
"90","5637",687452,"Navitoclax",0.699,0.61897020971765
"91","5637",687452,"Navitoclax",1,0.806264459988179
"92","639-V",906798,"Navitoclax",-2.6987,0.899712471002003
"93","639-V",906798,"Navitoclax",-2.3008,0.932964218406327
"94","639-V",906798,"Navitoclax",-2.1988,0.875493789379829
"95","639-V",906798,"Navitoclax",-1.9998,1.10195202446836
"96","639-V",906798,"Navitoclax",-1.8008,0.929185601144081
"97","639-V",906798,"Navitoclax",-1.6988,0.90924017439158
"98","639-V",906798,"Navitoclax",-1.4998,1.0126227269437
"99","639-V",906798,"Navitoclax",-1.3009,0.831374518886995
"100","639-V",906798,"Navitoclax",-1.1989,0.929523076699448
"101","639-V",906798,"Navitoclax",-0.9998,0.938200094516099
"102","639-V",906798,"Navitoclax",-0.8009,0.816338771030976
"103","639-V",906798,"Navitoclax",-0.6989,0.841981213040214
"104","639-V",906798,"Navitoclax",-0.4999,0.819131262169111
"105","639-V",906798,"Navitoclax",-0.301,0.812599514365212
"106","639-V",906798,"Navitoclax",-0.1989,0.918339228548905
"107","639-V",906798,"Navitoclax",1e-04,0.854885119790503
"108","639-V",906798,"Navitoclax",0.199,0.786267275318938
"109","639-V",906798,"Navitoclax",0.301,0.877364258756923
"110","639-V",906798,"Navitoclax",0.5,0.706039854935297
"111","639-V",906798,"Navitoclax",0.699,0.522944884856198
"112","639-V",906798,"Navitoclax",1,0.030406328717234
"113","647-V",906797,"Navitoclax",-2.6987,0.964662247181039
"114","647-V",906797,"Navitoclax",-2.3008,0.91473761809598
"115","647-V",906797,"Navitoclax",-2.1988,0.995304714038477
"116","647-V",906797,"Navitoclax",-1.9998,1.03423573936877
"117","647-V",906797,"Navitoclax",-1.8008,1.0595318429877
"118","647-V",906797,"Navitoclax",-1.6988,1.05658964775335
"119","647-V",906797,"Navitoclax",-1.4998,0.997515165456074
"120","647-V",906797,"Navitoclax",-1.3009,0.934305511649343
"121","647-V",906797,"Navitoclax",-1.1989,0.968490050431379
"122","647-V",906797,"Navitoclax",-0.9998,0.878917163152721
"123","647-V",906797,"Navitoclax",-0.8009,0.83257702738134
"124","647-V",906797,"Navitoclax",-0.6989,0.981897382234928
"125","647-V",906797,"Navitoclax",-0.4999,0.924109022944229
"126","647-V",906797,"Navitoclax",-0.301,0.856074874451696
"127","647-V",906797,"Navitoclax",-0.1989,0.937847583573941
"128","647-V",906797,"Navitoclax",1e-04,0.921273592546776
"129","647-V",906797,"Navitoclax",0.199,0.910848601594789
"130","647-V",906797,"Navitoclax",0.301,1.07384482366195
"131","647-V",906797,"Navitoclax",0.5,0.794169299051062
"132","647-V",906797,"Navitoclax",0.699,0.805231100825596
"133","647-V",906797,"Navitoclax",1,0.0176814339114557
"134","697",906800,"Navitoclax",-2.6987,0.842020962804746
"135","697",906800,"Navitoclax",-2.3008,1.03369367373875
"136","697",906800,"Navitoclax",-2.1988,0.976424360923803
"137","697",906800,"Navitoclax",-1.9998,1.11217312866263
"138","697",906800,"Navitoclax",-1.8008,1.20317336225225
"139","697",906800,"Navitoclax",-1.6988,1.06280437697926
"140","697",906800,"Navitoclax",-1.4998,1.07745874544369
"141","697",906800,"Navitoclax",-1.3009,0.82964881075895
"142","697",906800,"Navitoclax",-1.1989,0.891778700046457
"143","697",906800,"Navitoclax",-0.9998,0.693515582094308
"144","697",906800,"Navitoclax",-0.8009,0.582411045306338
"145","697",906800,"Navitoclax",-0.6989,0.416255022946881
"146","697",906800,"Navitoclax",-0.4999,0.108948303114762
