,drug,cell_line,name,tissue,histology,log10_dose,viability
1,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-2.397711202,0.992173508
2,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-2.221619943,0.994991428
3,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-1.897749337,0.999169263
4,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-1.721658078,1
5,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-1.397787471,1
6,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-1.221696212,1
7,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-0.897825605,1
8,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-0.721734346,1
9,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-0.39786374,0.954702303
10,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,-0.221772481,0.958020298
11,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,0.102098126,0.965246837
12,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,0.278189385,0.853636578
13,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,0.602059991,0.944736374
14,CISPLATIN,910784,A204,soft_tissue,rhabdomyosarcoma,0.77815125,0.871018697
15,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-2.397711202,1
16,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-2.221619943,0.973124426
17,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-1.897749337,0.947645451
18,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-1.721658078,1
19,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-1.397787471,0.996577084
20,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-1.221696212,1
21,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-0.897825605,0.987208844
22,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-0.721734346,0.967511563
23,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-0.39786374,0.996577084
24,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,-0.221772481,0.913090348
25,CISPLATIN,908127,MES-SA,soft_tissue,sarcoma,0.102098126,0.860453406
